dataset_key,dataset_name,model_key,model_name,fold,n_train,n_validation,train_positive_rate,validation_positive_rate,fit_seconds,roc_auc,pr_auc,recall,f1
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,587,147,0.5519591141396933,0.5578231292517006,0.23342160000174772,0.9271106941838649,0.9396634957515241,0.8292682926829268,0.8553459119496856
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,587,147,0.5536626916524702,0.5510204081632653,0.21522159999949508,0.8546576879910213,0.8547703560428968,0.8765432098765432,0.8352941176470589
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,587,147,0.5536626916524702,0.5510204081632653,0.2170373999979347,0.9410774410774411,0.9327237408179823,0.8024691358024691,0.8441558441558441
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,587,147,0.5536626916524702,0.5510204081632653,0.20346229999995558,0.9672652450430228,0.9726245480806421,0.8518518518518519,0.8789808917197452
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,588,146,0.5527210884353742,0.5547945205479452,0.2431378000001132,0.9309591642924976,0.9136316854679968,0.8641975308641975,0.875
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,587,147,0.5519591141396933,0.5578231292517006,0.2330740999968839,0.9339587242026266,0.938662829055189,0.8536585365853658,0.8695652173913043
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,587,147,0.5536626916524702,0.5510204081632653,0.0981924000006984,0.8690609801720912,0.8710142134803228,0.8888888888888888,0.8520710059171598
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,587,147,0.5536626916524702,0.5510204081632653,0.14717260000179522,0.9384586606808829,0.915340332217797,0.8518518518518519,0.8734177215189873
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,587,147,0.5536626916524702,0.5510204081632653,0.0966154000016104,0.9549195660306772,0.9537970164010713,0.9382716049382716,0.9156626506024096
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,588,146,0.5527210884353742,0.5547945205479452,0.10279000000082306,0.9335232668566001,0.9413408407628243,0.8641975308641975,0.8805031446540881
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,587,147,0.5519591141396933,0.5578231292517006,0.15781239999705576,0.9332082551594747,0.9184568069329464,0.8780487804878049,0.8888888888888888
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,587,147,0.5536626916524702,0.5510204081632653,0.11375810000026831,0.8668163112607556,0.8585570418162434,0.8888888888888888,0.8520710059171598
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,587,147,0.5536626916524702,0.5510204081632653,0.12770999999702326,0.9382716049382717,0.9055373517812169,0.8518518518518519,0.8679245283018868
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,587,147,0.5536626916524702,0.5510204081632653,0.1795736999993096,0.9468761690983913,0.9424468717579005,0.9135802469135802,0.9079754601226994
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,588,146,0.5527210884353742,0.5547945205479452,0.1479118000024755,0.9445394112060779,0.9553774121980808,0.8888888888888888,0.8834355828220859
