dataset_key,dataset_name,model_key,model_name,fold,feature,mean_abs_shap
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,Age,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,RestingBP,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,Cholesterol,0.01083391148739167
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,FastingBS,0.03337170594235905
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,MaxHR,0.02560172955496112
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,Oldpeak,0.011279398233217624
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,Sex,0.03769441053377657
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,ExerciseAngina,0.04188230968166953
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,ChestPainType_ASY,0.11932849886470942
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,ChestPainType_ATA,0.005473960001635525
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,ChestPainType_NAP,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,ChestPainType_TA,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,RestingECG_LVH,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,RestingECG_Normal,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,RestingECG_ST,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,ST_Slope_Down,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,ST_Slope_Flat,0.010450867281839533
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,ST_Slope_Up,0.23548328948673244
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,Age,0.01600503889476731
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,RestingBP,0.002345444645900709
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,Cholesterol,0.016486752909324397
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,FastingBS,0.019008919529455687
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,MaxHR,0.026666365948333933
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,Oldpeak,0.012509351868563208
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,Sex,0.055604083286422766
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,ExerciseAngina,0.04525110341406585
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,ChestPainType_ASY,0.15886026405302167
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,ChestPainType_ATA,0.004773310366047602
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,ChestPainType_NAP,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,ChestPainType_TA,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,RestingECG_LVH,0.0028232535185666726
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,RestingECG_Normal,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,RestingECG_ST,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,ST_Slope_Down,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,ST_Slope_Flat,0.008295500440139214
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,ST_Slope_Up,0.2957095798243964
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,Age,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,RestingBP,0.0014103552539545088
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,Cholesterol,0.013379185624799308
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,FastingBS,0.0283701863065418
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,MaxHR,0.018301647617852676
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,Oldpeak,0.010869870777509583
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,Sex,0.0384950209256675
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,ExerciseAngina,0.04024205073688168
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,ChestPainType_ASY,0.12011270256816614
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,ChestPainType_ATA,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,ChestPainType_NAP,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,ChestPainType_TA,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,RestingECG_LVH,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,RestingECG_Normal,0.0013799698271015888
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,RestingECG_ST,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,ST_Slope_Down,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,ST_Slope_Flat,0.009865379030713432
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,ST_Slope_Up,0.24769719951224853
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,Age,0.005599648894675789
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,RestingBP,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,Cholesterol,0.008887369503422915
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,FastingBS,0.03237981168570098
