dataset_key,dataset_name,model_key,model_name,fold,explainer,n_explained,n_background,n_features
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,PermutationExplainer,200,50,131
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,2,PermutationExplainer,200,50,131
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,3,PermutationExplainer,200,50,131
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,4,PermutationExplainer,200,50,131
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,5,PermutationExplainer,200,50,131
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,1,TreeExplainer,200,0,131
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,2,TreeExplainer,200,0,131
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,3,TreeExplainer,200,0,131
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,4,TreeExplainer,200,0,131
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,5,TreeExplainer,200,0,131
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,1,TreeExplainer,200,0,131
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,2,TreeExplainer,200,0,131
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,3,TreeExplainer,200,0,131
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,4,TreeExplainer,200,0,131
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,5,TreeExplainer,200,0,131
dataset2,Heart Failure Prediction,adaboost,AdaBoost,1,PermutationExplainer,147,50,18
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,PermutationExplainer,147,50,18
dataset2,Heart Failure Prediction,adaboost,AdaBoost,3,PermutationExplainer,147,50,18
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,PermutationExplainer,147,50,18
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,PermutationExplainer,146,50,18
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,TreeExplainer,147,0,18
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,TreeExplainer,147,0,18
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,TreeExplainer,147,0,18
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,TreeExplainer,147,0,18
dataset2,Heart Failure Prediction,xgboost,XGBoost,5,TreeExplainer,146,0,18
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,TreeExplainer,147,0,18
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,TreeExplainer,147,0,18
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,TreeExplainer,147,0,18
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,TreeExplainer,147,0,18
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,TreeExplainer,146,0,18
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,1,PermutationExplainer,200,50,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,2,PermutationExplainer,200,50,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,3,PermutationExplainer,200,50,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,4,PermutationExplainer,200,50,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,5,PermutationExplainer,200,50,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,1,TreeExplainer,200,0,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,2,TreeExplainer,200,0,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,3,TreeExplainer,200,0,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,4,TreeExplainer,200,0,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,5,TreeExplainer,200,0,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,1,TreeExplainer,200,0,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,2,TreeExplainer,200,0,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,3,TreeExplainer,200,0,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,4,TreeExplainer,200,0,22
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,5,TreeExplainer,200,0,22
