dataset_key,dataset_name,model_key,model_name,fold_a,fold_b,n_features,top_k,kendall_tau,spearman_rho,top_k_jaccard
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,2,131,10,0.9215502055196713,0.9291891314792078,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,3,131,10,0.9584263065179096,0.962931724763786,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,4,131,10,0.9769817968291252,0.9799071157849784,0.8181818181818182
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,5,131,10,0.9790957134468585,0.9838520258367587,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,2,3,131,10,0.9598355842630653,0.9656381786152778,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,2,4,131,10,0.9412800939518498,0.9499813163935301,0.8181818181818182
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,2,5,131,10,0.940575455079272,0.9457214541184008,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,3,4,131,10,0.9781561949500883,0.9838199967970961,0.8181818181818182
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,3,5,131,10,0.9779213153258957,0.9790369935408103,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,4,5,131,10,0.9588960657662948,0.9638925959536646,0.8181818181818182
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,1,2,131,10,0.7998825601879037,0.9362034911653232,0.8181818181818182
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,1,3,131,10,0.8231356429829714,0.9473442587946405,0.8181818181818182
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,1,4,131,10,0.8360540223135644,0.9555543692948272,0.8181818181818182
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,1,5,131,10,0.8123311802701116,0.9428548550685955,0.8181818181818182
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,2,3,131,10,0.7770992366412215,0.9189078097475045,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,2,4,131,10,0.795654726952437,0.9273421235253297,0.6666666666666666
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,2,5,131,10,0.7836758661186143,0.9181711418352639,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,3,4,131,10,0.7855549031121551,0.9255965408637165,0.6666666666666666
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,3,5,131,10,0.7989430416911334,0.9313404153098809,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,4,5,131,10,0.7780387551379919,0.9211391661773342,0.6666666666666666
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,1,2,131,10,0.8062243100411041,0.9386270218331287,0.8181818181818182
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,1,3,131,10,0.8214914856136231,0.9426466663107885,0.8181818181818182
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,1,4,131,10,0.8059894304169114,0.9446271285965943,0.6666666666666666
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,1,5,131,10,0.8034057545507928,0.9383654513425506,0.8181818181818182
